LICENSEE NUMBER,NAME OF LICENSEE,ALTERNATE NAME OF LICENSEE,STREET ADDRESS,CITY,ZIP CODE,TELEPHONE NUMBER,LICENSE TYPE DESC,TOTAL AFFILIATED,COMMUNITY BOARD,COUNCIL DISTRICT,NYPD PRECINCT,SHL ENDORSEMENT
B02395,ABATAR LLC,UBER-ABATAR LLC,31-00   47 AVENUE,LONG ISLAND CIT,11101,(718) 971-5559,TLC Licensed Base - Livery,11,02,26,108,
B02404,"KUCHEN,LLC",UBER-KUCHEN LLC,31-00   47 AVENUE,LONG ISLAND CIT,11101,(718) 971-5559,TLC Licensed Base - Livery,10,02,26,108,N
B02877,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7432,TLC License Base - Black Car,2803,00,00,000,
B02866,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,636 WEST   28 STREET,NEW YORK,10001,(646) 665-7271,TLC License Base - Black Car,1938,00,00,000,
B02882,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7473,TLC License Base - Black Car,4089,00,00,000,
B02869,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,636 WEST   28 STREET,NEW YORK,10001,(646) 665-7439,TLC License Base - Black Car,1168,00,00,000,
B02617,WEITER LLC,UBER-WEITER LLC,636 WEST   28 STREET,NY,10001,(718) 971-5638,TLC License Base - Black Car,1353,00,00,000,
B02876,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7584,TLC License Base - Black Car,3519,00,00,000,
B02865,"VIER-NY,LLC",UBER-VIER-NY LLC,636 WEST   28 STREET,NEW YORK,10001,(646) 665-7536,TLC License Base - Black Car,1353,00,00,000,
B02888,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7438,TLC License Base - Black Car,3421,00,00,000,
B02864,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-3597,TLC License Base - Black Car,1974,00,00,000,
B02883,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7549,TLC License Base - Black Car,3770,04,03,010,
B02875,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7402,TLC License Base - Black Car,1198,04,03,010,
B02682,SCHMECKEN LLC,UBER-SCHMECKEN LLC,636 WEST   28 STREET,NEW YORK,10001,(718) 971-5639,TLC License Base - Black Car,5120,00,00,000,N
B02880,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7406,TLC License Base - Black Car,1935,00,00,000,
B02870,"NEUN-NY,LLC",UBER-NEUN-NY LLC,636 WEST   28 STREET,NEW YORK,10001,(646) 665-3514,TLC License Base - Black Car,1622,00,00,000,
B02765,GRUN LLC,UBER-GRUN LLC,636 WEST   28 STREET,NEW YORK,10001,(718) 971-5628,TLC License Base - Black Car,1082,00,00,000,Y
B02879,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7564,TLC License Base - Black Car,1169,04,03,010,
B02867,"FUNF-NY, LLC",UBER-FUNF-NY LLC,636 WEST   28 STREET,NEW YORK,10001,(646) 665-7642,TLC License Base - Black Car,3903,00,00,000,
B02878,"ELF-NY,LLC","UBER-ELF-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7540,TLC License Base - Black Car,1424,00,00,000,
B02887,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7350,TLC License Base - Black Car,3915,00,00,000,
B02872,"EINS-NY,LLC","UBER-EINS-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7304,TLC License Base - Black Car,2012,00,00,000,
B02836,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,636 WEST 28 STREET,NEW YORK,10001,(718) 971-5585,TLC License Base - Black Car,2303,00,00,000,
B02884,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7562,TLC License Base - Black Car,4074,00,00,000,
B02835,DREIST NY LLC,UBER-DREIST NY LLC,636 WEST   28 STREET,NEW YORK,10001,(718) 971-5581,TLC License Base - Black Car,2900,04,03,010,
B02764,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(718) 971-5635,TLC License Base - Black Car,2924,00,00,000,
B02889,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7489,TLC License Base - Black Car,1828,00,00,000,
B02871,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",636 WEST   28 STREET,NEW YORK,10001,(646) 665-7268,TLC License Base - Black Car,1878,00,00,000,
