date,trips
2009-01-01,14092413
2009-02-01,13380122
2009-03-01,14387371
2009-04-01,14294783
2009-05-01,14796313
2009-06-01,14184249
2009-07-01,13626103
2009-08-01,13686520
2009-09-01,13984887
2009-10-01,15604551
2009-11-01,14275339
2009-12-01,14583404
2010-01-01,14863778
2010-02-01,11144283
2010-03-01,12878679
2010-04-01,15144990
2010-05-01,15481351
2010-06-01,14825128
2010-07-01,14656519
2010-08-01,12528177
2010-09-01,15540209
2010-10-01,14199607
2010-11-01,13912310
2010-12-01,13819313
2011-01-01,13464996
2011-02-01,14202800
2011-03-01,16066350
2011-04-01,14718973
2011-05-01,15554868
2011-06-01,15097861
2011-07-01,14742561
2011-08-01,13262441
2011-09-01,14626748
2011-10-01,15707756
2011-11-01,14525862
2011-12-01,14925983
2012-01-01,14969132
2012-02-01,14983521
2012-03-01,16146923
2012-04-01,15477914
2012-05-01,15567525
2012-06-01,15096468
2012-07-01,14379307
2012-08-01,14381752
2012-09-01,14546854
2012-10-01,14522315
2012-11-01,13776030
2012-12-01,14696583
2013-01-01,14776615
2013-02-01,13990176
2013-03-01,15749228
2013-04-01,15100468
2013-05-01,15285049
2013-06-01,14385456
2013-07-01,13823840
2013-08-01,12597109
2013-09-01,14107693
2013-10-01,15004556
2013-11-01,14388451
2013-12-01,13971118
2014-01-01,13782492
2014-02-01,13063791
2014-03-01,15428127
2014-04-01,14618759
2014-05-01,14774041
2014-06-01,13813029
2014-07-01,13106365
2014-08-01,12688877
2014-09-01,13374016
2014-10-01,14232487
2014-11-01,13218216
2014-12-01,13014161
2015-01-01,12748986
2015-02-01,12450521
2015-03-01,13351609
2015-04-01,13071789
2015-05-01,13158262
2015-06-01,12324935
2015-07-01,11562783
2015-08-01,11130304
2015-09-01,11225063
2015-10-01,12315488
2015-11-01,11312676
2015-12-01,11460573
2016-01-01,10906858
2016-02-01,11382049
2016-03-01,12210952
2016-04-01,11934338
2016-05-01,11836853
2016-06-01,11135470
2016-07-01,10294080
2016-08-01,9942263
2016-09-01,10116018
2016-10-01,10854626
2016-11-01,10102128
2016-12-01,10449408
